id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
12786,Mateusz Kowalski,1,61.0,0,0.55,0,0.0,1,0,0,0,M,Parma Calcio 1913,0,0.55
12788,Anas Haj Mohamed,2,16.0,0,0.59,2,0.46,2,2,1,0,S,Parma Calcio 1913,0,0.59
12853,Jesper Karlström,10,82.1,0,0.08,1,0.79,3,6,2,0,M S,Udinese,0,0.08
12854,Martin Frese,5,67.8,0,0.0,0,0.22,0,4,0,0,D S,Verona,0,0.0
12858,Daniele Ghilardi,4,90.0,0,0.09,0,0.07,3,1,1,0,D,Verona,0,0.09
12868,Mattia Felici,2,25.0,0,0.02,0,0.01,1,1,0,0,S,Cagliari,0,0.02
12872,Fisayo Dele-Bashiru,3,54.33,0,0.13,0,0.04,2,1,0,0,M S,Lazio,0,0.13
12873,Marin Sverko,6,60.5,0,0.07,0,0.0,2,0,0,0,D S,Venezia,0,0.07
12874,Richie Sagrado,2,60.0,0,0.03,0,0.0,1,0,1,0,D,Venezia,0,0.03
12878,Issa Doumbia,6,21.67,0,0.49,0,0.02,3,1,0,0,M S,Venezia,0,0.49
12885,Kialonda Gaspar,10,90.0,0,0.47,1,0.64,8,4,1,0,D,Lecce,0,0.47
12886,Filip Marchwinski,1,13.0,0,0.0,0,0.0,0,0,0,0,S,Lecce,0,0.0
12889,Federico Cassa,2,3.5,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0
12906,Jonas Rouhi,2,43.0,0,0.0,0,0.0,0,0,0,0,D S,Juventus,0,0.0
12907,Marco Sala,4,29.5,0,0.0,0,0.11,0,1,1,0,D S,Como,0,0.0
12908,Matthias Braunöder,4,48.5,0,0.01,0,0.0,1,0,1,0,M S,Como,0,0.01
12909,Alessandro Gabrielloni,5,11.0,0,0.1,0,0.16,2,2,0,0,S,Como,0,0.1
12958,Alessandro Marcandalli,1,47.0,0,0.0,0,0.0,0,0,0,0,D,Genoa,0,0.0
12989,Jay Idzes,8,87.5,0,0.47,0,0.02,4,1,1,0,D,Venezia,0,0.47
12990,Saad El Haddad,2,10.5,0,0.0,0,0.02,0,1,0,0,S,Venezia,0,0.0
12996,Alessio Iovine,3,76.0,0,0.0,0,0.02,0,1,1,0,D,Como,0,0.0
12998,Ali Jasim,2,4.0,0,0.0,0,0.0,0,0,0,0,S,Como,0,0.0
12999,Lorenzo Anghelè,1,2.0,0,0.0,0,0.0,0,0,0,0,S,Juventus,0,0.0
13006,Joël Schingtienne,1,90.0,0,0.0,0,0.0,0,0,1,0,D,Venezia,0,0.0
13009,Vanja Vlahovic,2,11.0,0,0.0,0,0.0,0,0,0,0,S,Atalanta,0,0.0
13027,Gaby Jean,2,7.0,0,0.0,0,0.0,0,0,0,0,S,Lecce,0,0.0
13046,Lior Kasa,1,19.0,0,0.03,0,0.04,1,2,0,0,S,Genoa,0,0.03
13050,Ignace Van der Brempt,5,79.4,0,0.26,0,0.12,3,3,1,0,D S,Como,0,0.26
13061,Benjamín Domínguez,1,64.0,0,0.32,0,0.0,2,0,0,0,M,Bologna,0,0.32
13071,Ismael Konaté,1,4.0,0,0.0,0,0.0,0,0,0,0,S,Empoli,0,0.0
13072,Vasilije Adzic,1,16.0,0,0.03,0,0.0,1,0,0,0,S,Juventus,0,0.03
13095,Tomás Palacios,1,6.0,0,0.0,0,0.0,0,0,0,0,S,Inter,0,0.0
13097,Mandela Keita,5,23.6,0,0.03,0,0.16,1,3,0,1,M S,Parma Calcio 1913,0,0.03
13099,Rui Modesto,1,17.0,0,0.0,0,0.02,0,1,0,0,S,Udinese,0,0.0
13129,Kevin Martins,1,2.0,0,0.0,0,0.0,0,0,0,0,S,Monza,0,0.0
13136,Brooke Norton-Cuffy,3,31.33,0,0.11,0,0.03,2,1,0,0,S,Genoa,0,0.11
